Main ID,Incident ID,Incident Type,,Region of Incident,Incident year,Reported Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Location of death,Information Source,Coordinates,Longitude ,Latitude ,UNSD Geographical Grouping,Article title,Source Quality,URL
2014.MMP00013,2014.MMP00013,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.654933 32.481483),-111.654933,32.481483,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2016,5,
2014.MMP00014,2014.MMP00014,Incident,,North America,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.654933 32.481683),-111.654933,32.481683,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00019,2014.MMP00019,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.854867 31.8054),-111.854867,31.8054,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00020,2014.MMP00020,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.385833 31.992833),-111.385833,31.992833,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00021,2014.MMP00021,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.20211 32.17305),-112.20211,32.17305,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00023,2014.MMP00023,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.1726 32.00768),-112.1726,32.00768,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00024,2014.MMP00024,Incident,,North America,2014,February,1,,1,2,,1,,Central America,Violence,"California-Mexico border near San Diego, California, USA",CNN,POINT (-117 32.5543),-117,32.5543,Northern America,"Border Patrol agent shoots, kills migrant who threw rocks",1,http://cnn.it/1jGgOUo
2014.MMP00026,2014.MMP00026,Incident,,North America,2014,February,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.96383 31.82214),-111.96383,31.82214,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00027,2014.MMP00027,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.58407 32.08795),-112.58407,32.08795,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,
2014.MMP00028,2014.MMP00028,Incident,,North America,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.44956 32.0885),-112.44956,32.0885,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00032,2014.MMP00032,Incident,,North America,2014,March,1,,1,,1,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.51916 31.759),-110.51916,31.759,Northern America,,5,http://humaneborders.info/
2014.MMP00036,2014.MMP00036,Incident,,Central America,2014,March,1,,1,,1,,1,South America,Violence,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico",New York Times ,POINT (-106.425 31.6904),-106.425,31.6904,Central America,A 12-Year-Old’s Trek of Despair Ends in a Noose at the Border,1,http://nyti.ms/1k00Xlq
2014.MMP00039,2014.MMP00039,Incident,,North America,2014,March,1,,1,,,,,Central America,Mixed or unknown,"King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",POINT (-97.74819915 26.81120278),-97.74819915,26.81120278,Northern America,,5,
2014.MMP00042,2014.MMP00042,Incident,,North America,2014,March,1,,1,,,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.114583 31.789033),-112.114583,31.789033,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00043,2014.MMP00043,Incident,,North America,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.326 32.1386),-112.326,32.1386,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00047,2014.MMP00047,Incident,,North America,2014,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.183 31.558),-111.183,31.558,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00048,2014.MMP00048,Incident,,North America,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.06415 31.94755),-112.06415,31.94755,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00049,2014.MMP00049,Incident,,North America,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.62433 31.85666),-111.62433,31.85666,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00051,2014.MMP00051,Incident,,North America,2014,March,1,,1,,1,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.862733 31.688867),-111.862733,31.688867,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00052,2014.MMP00052,Incident,,North America,2014,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.7528 32.3085),-111.7528,32.3085,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00053,2014.MMP00053,Incident,,North America,2014,March,1,,1,,,1,,Central America,Accidental death,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Nogales International and Pima County Office of the Medical Examiner (PCOME),POINT (-110.93813 31.33271),-110.93813,31.33271,Northern America,Migrant dies after falling from border fence and Undocumented Border Crossers 01/01/2014-08/29/2018,5,http://bit.ly/1grVlvz
2014.MMP00054,2014.MMP00054,Incident,,North America,2014,April,1,,1,,,1,,Central America,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.989383 31.354017),-110.989383,31.354017,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00057,2014.MMP00057,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.42503 32.03171),-112.42503,32.03171,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00058,2014.MMP00058,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.9419 31.836217),-111.9419,31.836217,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00059,2014.MMP00059,Incident,,North America,2014,April,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.330983 32.12865),-111.330983,32.12865,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00060,2014.MMP00060,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.5039 32.178733),-112.5039,32.178733,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00061,2014.MMP00061,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.246033 32.09045),-112.246033,32.09045,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00066,2014.MMP00066,Incident,,North America,2014,April,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.0037 32.1886),-113.0037,32.1886,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00068,2014.MMP00068,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.9961 32.1833),-112.9961,32.1833,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00070,2014.MMP00070,Incident,,North America,2014,April,1,,1,,,1,,Central America,Violence,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.862595 31.99887),-110.862595,31.99887,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00071,2014.MMP00071,Incident,,North America,2014,April,1,,1,,,1,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.793333 31.467633),-110.793333,31.467633,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00073,2014.MMP00073,Incident,,North America,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.43782 31.59867),-111.43782,31.59867,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00075,2014.MMP00075,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.79283 31.58023),-111.79283,31.58023,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00079,2014.MMP00079,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.868 32.12555),-112.868,32.12555,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00082,2014.MMP00082,Incident,,North America,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.97016 31.75233),-111.97016,31.75233,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00085,2014.MMP00085,Incident,,North America,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Violence,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.360473 31.692369),-110.360473,31.692369,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00087,2014.MMP00087,Incident,,North America,2014,May,1,,1,,,1,,Central America,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.34965 31.95283),-112.34965,31.95283,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00088,2014.MMP00088,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.68357 31.61445),-111.68357,31.61445,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00089,2014.MMP00089,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.6213 32.46313),-111.6213,32.46313,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00092,2014.MMP00092,Incident,,North America,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.1525 32.0667),-113.1525,32.0667,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00093,2014.MMP00093,Incident,,North America,2014,May,1,,1,,,1,,Central America,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-109.4814 31.34675),-109.4814,31.34675,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00094,2014.MMP00094,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.636383 32.437783),-111.636383,32.437783,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00095,2014.MMP00095,Incident,,North America,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.636383 32.437983),-111.636383,32.437983,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00097,2014.MMP00097,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.3423 31.62445),-111.3423,31.62445,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00098,2014.MMP00098,Incident,,North America,2014,June,1,,1,,,1,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-110.96816 31.334397),-110.96816,31.334397,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00100,2014.MMP00100,Incident,,North America,2014,June,1,,1,,1,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.670617 32.564183),-111.670617,32.564183,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00103,2014.MMP00103,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.0059 31.906667),-112.0059,31.906667,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00104,2014.MMP00104,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.959966 32.23316),-112.959966,32.23316,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00105,2014.MMP00105,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.9 32.05),-112.9,32.05,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00106,2014.MMP00106,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.59816 32.48843),-112.59816,32.48843,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00107,2014.MMP00107,Incident,,North America,2014,June,1,,1,,1,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.396767 31.778767),-111.396767,31.778767,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00108,2014.MMP00108,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-113.75 32.833333),-113.75,32.833333,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00109,2014.MMP00109,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.875669 31.914994),-111.875669,31.914994,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00110,2014.MMP00110,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.86507 31.84452),-111.86507,31.84452,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00111,2014.MMP00111,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.58124 32.14323),-112.58124,32.14323,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00112,2014.MMP00112,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.86321 31.78543),-111.86321,31.78543,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00113,2014.MMP00113,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.40091 31.49908),-111.40091,31.49908,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00119,2014.MMP00119,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"La India Ranch, Brooks County, Texas, USA","Operation Identificatio, U. of Texas",POINT (-98 27.15310333),-98,27.15310333,Northern America,,5,
2014.MMP00122,2014.MMP00122,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.71384 32.16403),-111.71384,32.16403,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00124,2014.MMP00124,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.20567 32.17175),-111.20567,32.17175,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00125,2014.MMP00125,Incident,,North America,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.64305 32.4275),-111.64305,32.4275,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00126,2014.MMP00126,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-112.21016 32.49936),-112.21016,32.49936,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00128,2014.MMP00128,Incident,,North America,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.00497 31.39289),-111.00497,31.39289,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
2014.MMP00132,2014.MMP00132,Incident,,North America,2014,July,1,,1,,,1,,Latin America / Caribbean (P),Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),POINT (-111.84799 31.6739),-111.84799,31.6739,Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,
