"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident year","Reported Month","Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Migration route","Location of death","Information Source",Coordinates,"UNSD Geographical Grouping","Article title","Source Quality",URL
2014.MMP00011,2014.MMP00011,Incident,"North America",2014-01-25,2014,January,1,,1,,,1,,"Central America","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-113.02935 32.40291)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2014",5,
2014.MMP00012,2014.MMP00012,Incident,"North America",2014-01-28,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.919 32.159)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2015",5,
2014.MMP00013,2014.MMP00013,Incident,"North America",2014-01-29,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.654933 32.481483)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2016",5,
2014.MMP00014,2014.MMP00014,Incident,"North America",2014-01-29,2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.654933 32.481683)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00015,2014.MMP00015,Incident,Europe,2014-01-30,2014,January,1,0,1,2,,1,1,"Southern Asia","Vehicle accident / death linked to hazardous transport","English Channel to the UK","France - Calais","Calais Migrant Solidarity ","POINT (2 50.9355)","Western Europe","Minor killed by a truck",4,http://bit.ly/1icTIF9
2014.MMP00016,2014.MMP00016,Incident,Caribbean,2014-01-30,2014,January,1,,1,,,1,1,Caribbean,Drowning,,"Off the coast of Fort Lauderdale, Florida",Local10.com,"POINT (-80 26.116)",Caribbean,"Boat with Haitian migrants washes up South Florida shore, 1 dead",1,http://bit.ly/1zU2LSq
2014.MMP00017,2014.MMP00017,"Cumulative Incident","South-eastern Asia",2014-02-02,2014,February,5,,5,500,,5,,"Southern Asia","Sickness / lack of access to adequate healthcare",,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110","Manager Online","POINT (100.4674982 7.0167471)","South-eastern Asia","ทำพิธีฝังหมู่โรฮิงญา 5 ศพ ป่วยตายระหว่างถูกกักขังในป่าชายแดนไทย-มาเลย์",1,https://archive.vn/fHipt
2014.MMP00018,2014.MMP00018,Incident,Mediterranean,2014-02-06,2014,February,15,0,15,0,,1,,Unknown,Violence,"Western Mediterranean","Ceuta waters",L'Espresso,"POINT (-5 35.8793)",Uncategorized,"Migrants clubbed to death at the border Boycott Morocco and Spain",1,http://bit.ly/U4b8wu
2014.MMP00019,2014.MMP00019,Incident,"North America",2014-02-11,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.854867 31.8054)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00020,2014.MMP00020,Incident,"North America",2014-02-16,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.385833 31.992833)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00021,2014.MMP00021,Incident,"North America",2014-02-16,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.20211 32.17305)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00022,2014.MMP00022,Incident,Mediterranean,2014-02-17,2014,February,2,0,2,121,,2,,"Eastern Africa","Mixed or unknown","Central Mediterranean","Italy waters","Malta Today","POINT (16 34.5645)",Uncategorized,"Two men found dead on migrant boat rescued off Italy",1,http://bit.ly/V7JIqE
2014.MMP00023,2014.MMP00023,Incident,"North America",2014-02-17,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.1726 32.00768)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00024,2014.MMP00024,Incident,"North America",2014-02-18,2014,February,1,,1,2,,1,,"Central America",Violence,"US-Mexico border crossing","California-Mexico border near San Diego, California, USA",CNN,"POINT (-117 32.5543)","Northern America","Border Patrol agent shoots, kills migrant who threw rocks",1,http://cnn.it/1jGgOUo
2014.MMP00025,2014.MMP00025,Incident,Caribbean,2014-02-20,2014,February,8,0,8,0,,,,Caribbean,Drowning,,"Dominican Republic",AP,"POINT (-68 18.4505)",Caribbean,"Capsizing death toll rises to 8 Haitians",1,http://bit.ly/1sWDTeE
2014.MMP00026,2014.MMP00026,Incident,"North America",2014-02-20,2014,February,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.96383 31.82214)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00027,2014.MMP00027,Incident,"North America",2014-02-21,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.58407 32.08795)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2017",5,
2014.MMP00028,2014.MMP00028,Incident,"North America",2014-02-25,2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.44956 32.0885)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00029,2014.MMP00029,Incident,"Southern Asia",2014-02-26,2014,February,1,0,1,0,,1,,"Southern Asia",Violence,,India,"Daily Star","POINT (89 25.1841)","Southern Asia","Bangladeshi killed in BSF firing",1,http://bit.ly/1vs5kco
2014.MMP00030,2014.MMP00030,Incident,"Eastern Africa",2014-02-26,2014,February,11,6,17,0,,,,"Eastern Africa",Drowning,"Horn of Africa to Yemen crossing","Gulf of Aden (left from Djibouti)",IOM,"POINT (39 20.2802)",Uncategorized,"Nine Ethiopian migrants die at sea, eight others missing (2 more bodies found of the missing - email from DOYLE 3/3/2014 horn deaths folder). ",4,http://bit.ly/1pTfmSe
2014.MMP00031,2014.MMP00031,Incident,Mediterranean,2014-02-27,2014,February,7,,7,,,,,"Eastern Africa",Violence,"Central Mediterranean","Libyan Coast","Libya herald","POINT (15 33.1597)",Uncategorized,"Coastguard rescues over a hundred migrants",1,http://bit.ly/1lvR4Ka
2014.MMP00032,2014.MMP00032,Incident,"North America",2014-03-04,2014,March,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-110.51916 31.759)","Northern America",,5,http://humaneborders.info/
2014.MMP00033,2014.MMP00033,Incident,Europe,2014-03-09,2014,March,1,0,1,0,,1,,Europe,Violence,"English Channel to the UK","France - Calais (Killed on motorway)","La Voix du Nord, Daily Mail UK ","POINT (2 50.9365)","Western Europe","Dying to get into Britain...",1,https://archive.vn/USuIs
2014.MMP00034,2014.MMP00034,Incident,"South-eastern Asia",2014-03-09,2014,March,5,,5,4,2,3,,"Southern Asia","Vehicle accident / death linked to hazardous transport",,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","Manager Online, INN News, Khomchudluek","POINT (101 13.2353642)","South-eastern Asia","รถขนแรงงานต่างด้าวขับหลบหนีด่านตำรวจ ชนตอม่อสะพานต่างระดับ เสียชีวิต 6 ราย บาดเจ็บ 4",,https://archive.vn/d2PId
2014.MMP00035,2014.MMP00035,Incident,"South-eastern Asia",2014-03-09,2014,March,2,,2,10,,2,,"Southern Asia","Vehicle accident / death linked to hazardous transport",,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","INN News, Manager Online, Daily News","POINT (99 9.96833)","South-eastern Asia",กระบะขนพม่าเกิดอุบัติเหตุชุมพรดับ2สาหัส12,,https://archive.vn/rni6s
2014.MMP00036,2014.MMP00036,Incident,"Central America",2014-03-11,2014,March,1,,1,,1,,1,"South America",Violence,"US-Mexico border crossing","Río Bravo, Ciudad Juarez, Chihuahua, Mexico","New York Times ","POINT (-106.425 31.6904)","Central America","A 12-Year-Old’s Trek of Despair Ends in a Noose at the Border",1,http://nyti.ms/1k00Xlq
2014.MMP00037,2014.MMP00037,Incident,"Eastern Africa",2014-03-11,2014,March,0,44,44,33,,,3,"Eastern Africa",Drowning,"Horn of Africa to Yemen crossing","Gulf of Aden",UNHCR,"POINT (48 12.5331)",Uncategorized,"More than 40 missing and feared drowned in latest Gulf of Aden boat tragedy",4,http://bit.ly/1gmKS4K
2014.MMP00038,2014.MMP00038,Incident,Europe,2014-03-12,2014,March,1,0,1,0,,1,,"Eastern Africa","Vehicle accident / death linked to hazardous transport","English Channel to the UK","France - Calais (Hit by lorry in port)","France Info, Daily Mail UK ","POINT (2 50.9686)","Western Europe","Dying to get into Britain...",3,http://dailym.ai/1iYPbax
2014.MMP00039,2014.MMP00039,Incident,"North America",2014-03-13,2014,March,1,,1,,,,,"Central America","Mixed or unknown","US-Mexico border crossing","King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas","POINT (-97.74819915 26.81120278)","Northern America",,5,
2014.MMP00040,2014.MMP00040,Incident,Europe,2014-03-14,2014,March,1,0,1,0,,1,,"Eastern Africa","Mixed or unknown","English Channel to the UK","France - Calais (Body found on dock)","Daily Mail UK ","POINT (2 50.950273)","Western Europe","Dying to get into Britain...",3,http://dailym.ai/1iYPbax
2014.MMP00041,2014.MMP00041,Incident,Europe,2014-03-15,2014,March,1,0,1,2,,1,,"Eastern Africa","Vehicle accident / death linked to hazardous transport","English Channel to the UK","France - Calais (Body found crushed in transporter)","Daily Mail UK ","POINT (2 50.9688)","Western Europe","Dying to get into Britain...",3,http://dailym.ai/1iYPbax
2014.MMP00042,2014.MMP00042,Incident,"North America",2014-03-15,2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.114583 31.789033)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00043,2014.MMP00043,Incident,"North America",2014-03-15,2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.326 32.1386)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00044,2014.MMP00044,Incident,Mediterranean,2014-03-17,2014,March,1,,1,,,,,Unknown,"Vehicle accident / death linked to hazardous transport","Central Mediterranean",Mediterranean,"Global post","POINT (13 34.9797)",Uncategorized,"Italy arrests four suspected people smugglers",1,http://bit.ly/1lOxCNv
2014.MMP00045,2014.MMP00045,Incident,Mediterranean,2014-03-18,2014,March,7,2,9,8,1,1,1,"Western Asia",Drowning,"Eastern Mediterranean","Waters near Lesvos, Greece",Guardian,"POINT (26 39.398814)",Uncategorized,"Seven Syrian migrants drown off Greek coast",1,http://bit.ly/1qfMlCm
2014.MMP00046,2014.MMP00046,Incident,"Eastern Africa",2014-03-22,2014,March,251,0,251,50,,,,"Middle Africa",Drowning,,"Lake Albert, Uganda/DRC","BBC (UNHCR)","POINT (31 1.63236)","Eastern Africa","Uganda Lake Albert boat disaster 'killed 251 refugees'",1,http://bbc.in/1iRb5A9
2014.MMP00047,2014.MMP00047,Incident,"North America",2014-03-23,2014,March,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.183 31.558)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00048,2014.MMP00048,Incident,"North America",2014-03-26,2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.06415 31.94755)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00049,2014.MMP00049,Incident,"North America",2014-03-26,2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.62433 31.85666)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00050,2014.MMP00050,Incident,"Central America",2014-03-26,2014,March,1,,1,,1,,,"Central America","Vehicle accident / death linked to hazardous transport",,"Comitan, Chiapas, Mexico","El Siglo de Torreon","POINT (-92 16.2299602)","Central America","Hallan en Chiapas cuerpo de mujer migrante",1,http://bit.ly/1WIuqEs
2014.MMP00051,2014.MMP00051,Incident,"North America",2014-03-30,2014,March,1,,1,,1,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.862733 31.688867)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00052,2014.MMP00052,Incident,"North America",2014-03-30,2014,March,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.7528 32.3085)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00053,2014.MMP00053,Incident,"North America",2014-03-30,2014,March,1,,1,,,1,,"Central America","Accidental death","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Nogales International and Pima County Office of the Medical Examiner (PCOME)","POINT (-110.93813 31.33271)","Northern America","Migrant dies after falling from border fence and Undocumented Border Crossers 01/01/2014-08/29/2018",5,http://bit.ly/1grVlvz
2014.MMP00054,2014.MMP00054,Incident,"North America",2014-04-02,2014,April,1,,1,,,1,,"Central America","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-110.989383 31.354017)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00055,2014.MMP00055,Incident,"Eastern Africa",2014-04-09,2014,April,17,0,17,0,,,,"Eastern Africa",Drowning,,"Limpopo River, Zimbabwe",AllAfrica,"POINT (32 -23.8148)","Eastern Africa","Zimbabwe: 17 'Border Jumpers' Found Dead in Limpopo River",1,http://bit.ly/1z57Bim
2014.MMP00056,2014.MMP00056,Incident,Mediterranean,2014-04-09,2014,April,1,0,1,661,,,,Unknown,"Mixed or unknown","Central Mediterranean","Italy waters","Deutsche Welle","POINT (14 35.1092)",Uncategorized,"Italy alarmed over boat migrant influx",1,http://bit.ly/1okLaA1
2014.MMP00057,2014.MMP00057,Incident,"North America",2014-04-10,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.42503 32.03171)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00058,2014.MMP00058,Incident,"North America",2014-04-10,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.9419 31.836217)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00059,2014.MMP00059,Incident,"North America",2014-04-14,2014,April,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.330983 32.12865)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00060,2014.MMP00060,Incident,"North America",2014-04-14,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.5039 32.178733)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00061,2014.MMP00061,Incident,"North America",2014-04-14,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.246033 32.09045)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00062,"2014.MMP0006263,2014.MMP0006264,2014.MMP0006265,2014.MMP0006266","Split Incident","Northern Africa",2014-04-14,2014,April,10,0,10,309,,,,"Eastern Africa","Harsh environmental conditions / lack of adequate shelter, food, water","Sahara Desert crossing","Sudanese-Libyan desert","Agence France Presse","POINT (22 23.3112)","Northern Africa","10 migrants die, hundreds rescued in Sudan-Libya desert",1,http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert
2014.MMP00063,2014.MMP00063,Incident,Mediterranean,2014-04-16,2014,April,8,1,9,5,2,,1,"Western Asia",Drowning,"Eastern Mediterranean","Turkey waters - en route to Greece",,"POINT (27 38.669208)",Uncategorized,"At least 8 dead as migrant boat sinks in Aegean",1,http://bit.ly/1qfNEkE
2014.MMP00064,2014.MMP00064,Incident,"Central America",2014-04-17,2014,April,4,,4,3,,,,"Central America",Violence,,"On la Bestia, near Arriaga, Chiapas, Mexico","Soy 502","POINT (-94 16.242196)","Central America","Cuatro migrantes mueren en asalto al tren ""La Bestia"" en México",1,http://bit.ly/29FBuh6
2014.MMP00066,2014.MMP00066,Incident,"North America",2014-04-18,2014,April,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-113.0037 32.1886)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00067,2014.MMP00067,Incident,"South-eastern Asia",2014-04-21,2014,April,5,,5,,,,,"Eastern Asia",Violence,,"Border China/Vietnam","New York Times","POINT (107 21.5928)","South-eastern Asia","Vietnam returns migrants to China after deadly border clash",1,http://nyti.ms/1kzuP6j
2014.MMP00068,2014.MMP00068,Incident,"North America",2014-04-23,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.9961 32.1833)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00069,2014.MMP00069,Incident,"South-eastern Asia",2014-04-25,2014,April,7,,7,7,2,5,,"Southern Asia","Vehicle accident / death linked to hazardous transport",,"344 Road, 39-40th km, Nong Sue Chang subdistrict, Nong Yai district, Chonburi province, Thailand","Naewna,  Post Today, Daily News, Manager Online","POINT (101 13.3493133)","South-eastern Asia","กระบะขนต่างด้าวซิ่งแหกด่าน!! ชนต้นไม้พลิกคว่ำตาย7เจ็บอีก7",,https://archive.vn/FobuQ
2014.MMP00070,2014.MMP00070,Incident,"North America",2014-04-27,2014,April,1,,1,,,1,,"Central America",Violence,"US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-110.862595 31.99887)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00071,2014.MMP00071,Incident,"North America",2014-04-27,2014,April,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-110.793333 31.467633)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00072,2014.MMP00072,Incident,Mediterranean,2014-04-30,2014,April,,40,40,1,,,,"Eastern Africa",Drowning,"Central Mediterranean","Coast of Libya","Relief Web","POINT (14 34.3706)",Uncategorized,"UNHCR saddened at high seas accidents as Mediterranean claims more victims",1,http://bit.ly/1okLiQ5
2014.MMP00073,2014.MMP00073,Incident,"North America",2014-04-30,2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.43782 31.59867)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
2014.MMP00074,2014.MMP00074,Incident,Caribbean,2014-05-01,2014,May,6,3,9,16,,,,Caribbean,Drowning,,"Dominican Republic, near Boca Chica and Juan Dolio","Dominican Today","POINT (-70 18.3079)",Caribbean,"Search operation continues, 16 boatpeople rescued",1,http://bit.ly/1pGZg2g
2014.MMP00075,2014.MMP00075,Incident,"North America",2014-05-01,2014,May,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.79283 31.58023)","Northern America","Undocumented Border Crossers 01/01/2014-08/29/2018",5,
